date,close_usd_lb,source
2026-05-04,3.022,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-05,3.0585,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-06,2.9945,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-07,2.9105,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-08,2.897,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-11,2.986,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-12,2.948,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-13,2.9625,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-14,2.9445,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-15,2.846,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-18,2.762,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-19,2.7015,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-20,2.683,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-21,2.734,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-22,2.7235,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-26,2.74,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-27,2.6985,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-28,2.7425,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-05-29,2.656,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-06-01,2.606,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-06-02,2.592,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-06-03,2.531,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-06-04,2.4715,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
2026-06-05,2.465,"Yahoo Finance KC=F (ICE Coffee C, delayed)"
