date,usd_krw,source
2026-05-26,1513.3,ECOS(한국은행) 731Y001/0000001
2026-05-27,1507.9,ECOS(한국은행) 731Y001/0000001
2026-05-28,1501.6,ECOS(한국은행) 731Y001/0000001
2026-05-29,1505.8,ECOS(한국은행) 731Y001/0000001
2026-06-01,1503.2,ECOS(한국은행) 731Y001/0000001
2026-06-02,1511.3,ECOS(한국은행) 731Y001/0000001
2026-06-04,1515.6,ECOS(한국은행) 731Y001/0000001
2026-06-05,1528.6,ECOS(한국은행) 731Y001/0000001
2026-06-08,1543.0,ECOS(한국은행) 731Y001/0000001
2026-06-09,1546.5,ECOS(한국은행) 731Y001/0000001
2026-06-10,1518.4,ECOS(한국은행) 731Y001/0000001
2026-06-11,1522.4,ECOS(한국은행) 731Y001/0000001
2026-06-12,1527.0,ECOS(한국은행) 731Y001/0000001
2026-06-15,1520.4,ECOS(한국은행) 731Y001/0000001
2026-06-16,1510.0,ECOS(한국은행) 731Y001/0000001
